Team_Name,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Anaheim Ducks,ANA,2021-2022,82,31,37,--,14,76,0.463,22,27,4,228,266,2.78,3.24,21.9,80.8,20.1,83.5,29.2,33.2,48.2
Anaheim Ducks,ANA,2022-2023,82,23,47,--,12,58,0.354,13,20,3,206,335,2.51,4.09,15.7,72.1,12.7,72.5,28.4,39.1,46.7
Anaheim Ducks,ANA,2023-2024,82,27,50,--,5,59,0.36,21,26,1,203,293,2.48,3.57,17.9,72.4,15.7,76.1,26.8,32.5,46.7
Anaheim Ducks,ANA,2024-2025,82,35,37,--,10,80,0.488,24,31,4,217,261,2.65,3.18,11.8,74.2,9.1,75.4,27.7,32.3,44.6
Arizona Coyotes,ARI,2021-2022,82,25,50,--,7,57,0.348,18,24,1,206,309,2.51,3.77,13.9,75,11.9,76.2,25.9,35.5,47.3
Arizona Coyotes,ARI,2022-2023,82,28,40,--,14,70,0.427,20,25,3,225,295,2.74,3.6,18.9,74.6,16.4,76.2,25.8,35,45.9
Arizona Coyotes,ARI,2023-2024,82,36,41,--,5,77,0.47,28,34,2,254,274,3.1,3.34,22,76.3,19.1,79,27.7,31.7,45.1
Boston Bruins,BOS,2021-2022,82,51,26,--,5,107,0.652,40,49,2,253,218,3.09,2.66,21.2,81.3,18.6,83.2,36.1,28.7,54.2
Boston Bruins,BOS,2022-2023,82,65,12,--,5,135,0.823,54,61,4,301,174,3.67,2.12,22.2,87.3,19.4,90.1,33,29.8,54.5
Boston Bruins,BOS,2023-2024,82,47,20,--,15,109,0.665,36,43,4,263,221,3.21,2.7,22.2,82.5,19.8,85.1,29.3,30.5,49.5
Boston Bruins,BOS,2024-2025,82,33,39,--,10,76,0.463,26,33,0,222,271,2.71,3.3,15.2,76.3,9.6,78.8,26.5,28.6,51.7
Buffalo Sabres,BUF,2021-2022,82,32,39,--,11,75,0.457,25,29,3,229,287,2.79,3.5,21.2,76.4,18.5,79.3,29.9,33,46
Buffalo Sabres,BUF,2022-2023,82,42,33,--,7,91,0.555,30,39,3,293,297,3.57,3.62,23.4,73,20.8,77,32.5,33,45.1
Buffalo Sabres,BUF,2023-2024,82,39,37,--,6,84,0.512,33,37,2,244,243,2.98,2.96,16.6,79.8,12.1,82.7,30.9,29.3,45
Buffalo Sabres,BUF,2024-2025,82,36,39,--,7,79,0.482,29,32,4,265,287,3.23,3.5,18.8,76.4,15.3,80.5,27.8,28.9,47.8
Calgary Flames,CGY,2021-2022,82,50,21,--,11,111,0.677,44,48,2,291,206,3.55,2.51,22.9,83.2,21.6,86,35.5,29,51.1
Calgary Flames,CGY,2022-2023,82,38,27,--,17,93,0.567,31,36,2,258,247,3.15,3.01,19.8,82.6,17.5,85.6,36,27.3,50.4
Calgary Flames,CGY,2023-2024,82,38,39,--,5,81,0.494,32,38,0,253,267,3.09,3.26,17.9,80.8,13.5,85.3,31.4,29.7,49.6
Calgary Flames,CGY,2024-2025,82,41,27,--,14,96,0.585,31,36,5,220,236,2.68,2.88,21,76.1,18.5,79.2,29.4,28.9,46.2
Carolina Hurricanes,CAR,2021-2022,82,54,20,--,8,116,0.707,47,53,1,277,200,3.38,2.44,22,88,20.7,89.5,34.1,28.2,53.9
Carolina Hurricanes,CAR,2022-2023,82,52,21,--,9,113,0.689,39,48,4,262,210,3.2,2.56,19.8,84.4,17.4,88.7,34.8,26,52.9
Carolina Hurricanes,CAR,2023-2024,82,52,23,--,7,111,0.677,44,50,2,277,211,3.38,2.57,26.9,86.4,23.7,90.7,33.3,25.6,52.6
Carolina Hurricanes,CAR,2024-2025,82,47,30,--,5,99,0.604,42,47,0,266,230,3.24,2.8,18.7,83.6,16.7,87.7,31.7,24.9,52.7
Chicago Blackhawks,CHI,2021-2022,82,28,42,--,12,68,0.415,16,22,6,213,289,2.6,3.52,19.2,76.2,16.7,77.1,28.8,33,49.6
Chicago Blackhawks,CHI,2022-2023,82,26,49,--,7,59,0.36,18,24,2,202,299,2.46,3.65,16.4,76.2,12.1,79.2,27,33.6,52.7
Chicago Blackhawks,CHI,2023-2024,82,23,53,--,6,52,0.317,17,22,1,178,289,2.17,3.52,16.6,75.8,13.2,77.1,26.3,32.7,46.3
Chicago Blackhawks,CHI,2024-2025,82,25,46,--,11,61,0.372,20,23,2,224,292,2.73,3.56,24.9,79.3,21.2,81.9,24.5,31.1,44.8
Colorado Avalanche,COL,2021-2022,82,56,19,--,7,119,0.726,46,52,4,308,232,3.76,2.83,24,79.7,22.2,82.2,35,32,47.3
Colorado Avalanche,COL,2022-2023,82,51,24,--,7,109,0.665,36,45,6,274,223,3.34,2.72,24.5,79,22.6,81.5,33.3,31,46.7
Colorado Avalanche,COL,2023-2024,82,50,25,--,7,107,0.652,42,48,2,302,252,3.68,3.07,24.5,79.9,22.3,82.6,33,29.8,47.9
Colorado Avalanche,COL,2024-2025,82,49,29,--,4,102,0.622,40,45,4,273,231,3.33,2.82,24.8,79.8,21.8,82.2,29.9,25.9,47.1
Columbus Blue Jackets,CBJ,2021-2022,82,37,38,--,7,81,0.494,26,33,4,258,297,3.15,3.62,18.6,78.6,15.9,81.5,30,35.2,48.5
Columbus Blue Jackets,CBJ,2022-2023,82,25,48,--,9,59,0.36,15,24,1,213,329,2.6,4.01,18.3,75.1,14.3,77.2,29.3,35.4,48.6
Columbus Blue Jackets,CBJ,2023-2024,82,27,43,--,12,66,0.402,21,24,3,234,298,2.85,3.63,15.1,76.3,12.3,78.4,30,34.4,47.2
Columbus Blue Jackets,CBJ,2024-2025,82,40,33,--,9,89,0.543,30,34,6,267,267,3.26,3.26,19.5,77,15.7,81.1,29,29.9,47.8
Dallas Stars,DAL,2021-2022,82,46,30,--,6,98,0.598,31,41,5,233,244,2.84,2.98,22.4,79,20.3,82.2,30.3,31,54.8
Dallas Stars,DAL,2022-2023,82,47,21,--,14,108,0.659,39,43,4,281,215,3.43,2.62,25,83.5,23.1,87.6,31.9,29.9,54.8
Dallas Stars,DAL,2023-2024,82,52,21,--,9,113,0.689,40,48,4,294,232,3.59,2.83,24.2,82,22.5,87,31.6,28.7,54
Dallas Stars,DAL,2024-2025,82,50,26,--,6,106,0.646,41,48,2,275,222,3.35,2.71,22,82,20.4,85.5,28.4,29,52.1
Detroit Red Wings,DET,2021-2022,82,32,40,--,10,74,0.451,21,29,3,227,310,2.77,3.78,16.3,73.8,11.9,75.6,29.4,33.7,49.4
Detroit Red Wings,DET,2022-2023,82,35,37,--,10,80,0.488,28,32,3,237,275,2.89,3.35,21.1,78.3,16.7,80.3,28.2,30.4,49.1
Detroit Red Wings,DET,2023-2024,82,41,32,--,9,91,0.555,27,38,3,275,273,3.35,3.33,23.1,79.6,19.4,82.5,29,32.4,50.6
Detroit Red Wings,DET,2024-2025,82,39,35,--,8,86,0.524,30,36,3,235,259,2.87,3.16,27,70.1,24.1,71.2,27.4,28.5,49
Edmonton Oilers,EDM,2021-2022,82,49,27,--,6,104,0.634,38,44,5,285,251,3.48,3.06,26,79.4,23.4,83.7,34,32.3,51.3
Edmonton Oilers,EDM,2022-2023,82,50,23,--,9,109,0.665,45,50,0,325,256,3.96,3.12,32.4,77,29.8,83.5,33.6,31.4,50.8
Edmonton Oilers,EDM,2023-2024,82,49,27,--,6,104,0.634,39,47,2,292,236,3.56,2.88,26.3,79.5,24.3,82.2,33.8,28.1,53.2
Edmonton Oilers,EDM,2024-2025,82,48,29,--,5,101,0.616,36,48,0,259,235,3.16,2.87,23.7,78.2,21.9,80.6,32,27,50.9
Florida Panthers,FLA,2021-2022,82,58,18,--,6,122,0.744,42,55,3,337,242,4.11,2.95,24.4,79.5,21.4,84.2,37.3,30.7,48.2
Florida Panthers,FLA,2022-2023,82,42,32,--,8,92,0.561,36,40,2,288,272,3.51,3.32,22.8,76,19.6,78,36.8,31.7,48.9
Florida Panthers,FLA,2023-2024,82,52,24,--,6,110,0.671,42,49,3,265,198,3.23,2.41,23.5,82.5,20.2,85.2,33.7,27.8,51.3
Florida Panthers,FLA,2024-2025,82,47,31,--,4,98,0.598,37,41,6,246,223,3,2.72,23.5,80.7,19.3,85.7,31.6,26.2,49.4
Los Angeles Kings,LAK,2021-2022,82,44,27,--,11,99,0.604,35,40,4,235,232,2.87,2.83,16.1,76.7,12.5,81.5,34.9,28.5,52.2
Los Angeles Kings,LAK,2022-2023,82,47,25,--,10,104,0.634,37,41,6,274,254,3.34,3.1,25.3,75.8,21.9,78.4,32.4,27.9,53.3
Los Angeles Kings,LAK,2023-2024,82,44,27,--,11,99,0.604,37,42,2,254,210,3.1,2.56,22.6,84.6,19.8,88.9,31.9,28,50.6
Los Angeles Kings,LAK,2024-2025,82,48,25,--,9,105,0.64,43,47,1,249,203,3.04,2.48,17.9,81.4,15,83.1,28.1,25.5,50.6
Minnesota Wild,MIN,2021-2022,82,53,22,--,7,113,0.689,37,48,5,305,249,3.72,3.04,20.5,76.1,18.6,76.9,32.5,31.4,47.6
Minnesota Wild,MIN,2022-2023,82,46,25,--,11,103,0.628,34,39,7,239,219,2.91,2.67,21.4,82,20.2,87.5,30.9,31.1,47.7
Minnesota Wild,MIN,2023-2024,82,39,34,--,9,87,0.53,32,36,3,248,260,3.02,3.17,22.7,74.5,18.7,75.7,30.1,29.7,47.3
Minnesota Wild,MIN,2024-2025,82,45,30,--,7,97,0.591,33,42,3,225,236,2.74,2.88,20.9,72.4,18.9,74.4,27.6,29.6,46.7
Montréal Canadiens,MTL,2021-2022,82,22,49,--,11,55,0.335,16,19,3,218,317,2.66,3.87,13.7,75.6,8.9,77.7,29.8,34.4,49.2
Montréal Canadiens,MTL,2022-2023,82,31,45,--,6,68,0.415,21,26,5,227,305,2.77,3.72,16.1,72.7,14.8,75.6,27.3,33.6,48.5
