Player_Name,Season,Team,CapHit,S.C,Games_Played,GS,Wins,Losses,T,OT,SA,Svs,GA,Svpercent,GAA,TOI,SO,G,A,P,PIM,Cap_Hit,Sv_percent,TOI_minutes,Cap_Hit_Bin,Wins_per_M,SvPct_per_M,SO_per_M,Predicted_Wins,Wins_Bin,Cap_Percent,Predicted_Cap_Hit
Dylan Wells,2022-2023,CHI,750000,L,1,0,0,0,--,0,13,12,1,0.923,3,20:00,0,0,0,0,0,0.075,0.923,20,Low,0,12.30666667,0,-0.422375592,Low,0.000909091,0.006897992
Matt Murray,2023-2024,DAL,750000,L,1,1,1,0,--,0,23,23,0,1,0,60:00:00,1,0,0,0,0,0.75,1,60,Low,1.333333333,1.333333333,1.333333333,0.926675002,Low,0.008982036,0.005546471
Magnus Hellberg,2021-2022,DET,750000,L,1,1,1,0,--,0,23,20,3,0.87,3,60:00:00,0,0,0,0,0,0.75,0.87,60,Low,1.333333333,1.16,0,-0.617279797,Low,0.009202454,0.009082609
Adam Huska,2021-2022,NYR,750000,L,1,1,0,1,--,0,39,32,7,0.821,7.04,59:42:00,0,0,0,0,0,0.75,0.821,59.7,Low,0,1.094666667,0,-1.201861244,Low,0.009202454,0.010114893
Keith Kinkaid,2021-2022,NYR,750000,L,1,1,1,0,--,0,31,29,2,0.935,2,60:00:00,0,0,0,0,0,0.75,0.935,60,Low,1.333333333,1.246666667,0,0.154697602,Low,0.009202454,0.00731454
Michael McNiven,2021-2022,MTL,750000,L,1,0,0,0,--,0,7,4,3,0.571,9,20:00,0,0,0,0,0,0.75,0.571,20,Low,0,0.761333333,0,-4.518942873,Low,0.009202454,0.016472765
Cory Schneider,2021-2022,NYI,750000,L,1,1,1,0,--,0,30,27,3,0.9,3,60:00:00,0,0,0,0,0,0.75,0.9,60,Low,1.333333333,1.2,0,-0.260982536,Low,0.009202454,0.008266577
Olle Eriksson Ek,2022-2023,ANA,750000,L,1,1,0,0,--,1,39,34,5,0.872,4.69,63:59:00,0,0,0,0,0,0.75,0.872,63.98333333,Low,0,1.162666667,0,-0.558616013,Low,0.009090909,0.008775369
Louis Domingue,2023-2024,NYR,750000,R,1,1,1,0,--,0,26,25,1,0.962,1,60:00:00,0,0,0,0,0,0.75,0.962,60,Low,1.333333333,1.282666667,0,0.475365138,Low,0.008982036,0.006580112
Jet Greaves,2022-2023,CBJ,758333,L,1,1,0,1,--,0,49,46,3,0.939,3.05,58:57:00,0,0,0,0,0,0.758333,0.939,58.95,Low,0,1.238242303,0,0.194038357,Low,0.009191915,0.00689681
Kenneth Appleby,2023-2024,NYI,762500,L,1,0,0,0,--,0,8,6,2,0.75,6,20:00,0,0,0,0,0,0.7625,0.75,20,Low,0,0.983606557,0,-2.391480561,Low,0.009131737,0.011603775
Michael Hutchinson,2023-2024,DET,775000,R,1,1,0,1,--,0,36,33,3,0.917,3.11,57:48:00,0,0,0,0,0,0.775,0.917,57.8,Low,0,1.183225806,0,-0.075251303,Low,0.009281437,0.007482418
Malcolm Subban,2023-2024,CBJ,775000,L,1,1,0,1,--,0,35,32,3,0.914,3,60:00:00,0,0,0,0,0,0.775,0.914,60,Low,0,1.179354839,0,-0.091599842,Low,0.009281437,0.007588537
Ales Stezka,2024-2025,SEA,775000,L,1,1,0,1,--,0,23,20,3,0.87,3.09,58:20:00,0,0,0,0,0,0.775,0.87,58.33333333,Low,0,1.122580645,0,-0.628776118,Low,0.008806818,0.008766811
Brandon Halverson,2024-2025,TBL,775000,L,1,1,0,1,--,0,24,19,5,0.792,5.18,57:57:00,0,0,0,0,0,0.775,0.792,57.95,Low,0,1.021935484,0,-1.558508599,Low,0.008806818,0.010884222
Clay Stevenson,2024-2025,WSH,775000,L,1,1,0,1,--,0,38,33,5,0.868,5,60:00:00,0,0,0,0,0,0.775,0.868,60,Low,0,1.12,0,-0.637922309,Low,0.008806818,0.008839786
Hunter Shepard,2024-2025,WSH,775000,L,1,1,0,1,--,0,26,19,7,0.731,7,60:00:00,0,0,0,0,0,0.775,0.731,60,Low,0,0.943225806,0,-2.265013136,Low,0.008806818,0.012566331
Louis Domingue,2024-2025,NYR,775000,R,1,1,1,0,--,0,27,25,2,0.926,2,60:00:00,0,0,0,0,0,0.775,0.926,60,Low,1.290322581,1.19483871,0,0.050919063,Low,0.008806818,0.00755935
Matt Villalta,2024-2025,UTA,775000,L,1,1,1,0,--,0,31,28,3,0.903,3,60:00:00,0,0,0,0,0,0.775,0.903,60,Low,1.290322581,1.16516129,0,-0.222242171,Low,0.008806818,0.008184974
Pheonix Copley,2024-2025,LAK,775000,L,1,0,0,0,--,0,12,10,2,0.833,4.37,27:29:00,0,0,0,0,0,0.775,0.833,27.48333333,Low,0,1.07483871,0,-1.338584235,Low,0.008806818,0.009429477
Erik Portillo,2024-2025,LAK,783333,L,1,1,1,0,--,0,29,28,1,0.966,1.02,58:37:00,0,0,0,0,0,0.783333,0.966,58.61666667,Low,1.276596288,1.233192014,0,0.51489514,Low,0.008901511,0.006455892
Alex Stalock,2021-2022,SJS,785000,L,1,1,0,1,--,0,28,22,6,0.786,7.81,46:07:00,0,0,0,0,0,0.785,0.786,46.11666667,Low,0,1.001273885,0,-1.732233211,Low,0.009631902,0.010915565
Yaniv Perets,2023-2024,CAR,805000,L,1,0,0,0,--,0,1,1,0,1,0,12:46,0,0,0,0,0,0.805,1,12.76666667,Mid-Low,0,1.242236025,0,0.519557165,Low,0.009640719,0.004722906
Yaniv Perets,2024-2025,CAR,805000,L,1,0,0,0,--,0,7,6,1,0.857,7.32,8:12,0,0,0,0,0,0.805,0.857,8.2,Mid-Low,0,1.064596273,0,-1.218816184,Low,0.009147727,0.00856177
Dustin Wolf,2022-2023,CGY,827500,L,1,1,1,0,--,0,24,23,1,0.958,1,59:54:00,0,0,0,0,0,0.8275,0.958,59.9,Mid-Low,1.208459215,1.157703927,0,0.436625399,Low,0.010030303,0.006687801
Hugo Alnefelt,2021-2022,TBL,850833,L,1,0,0,0,--,0,10,7,3,0.7,9,20:00,0,0,0,0,0,0.850833,0.7,20,Mid-Low,0,0.822723143,0,-2.974318447,Low,0.010439669,0.012963828
Sebastian Cossa,2024-2025,DET,863333,L,1,0,1,0,--,0,14,12,2,0.857,2.67,45:00:00,0,0,0,0,0,0.863333,0.857,45,Mid-Low,1.158301606,0.992664476,0,-0.889036394,Low,0.009810602,0.009269072
Tristan Lennox,2024-2025,NYI,867500,L,1,0,0,0,--,0,2,1,1,0.5,12.72,4:43,0,0,0,0,0,0.8675,0.5,4.716666667,Mid-Low,0,0.576368876,0,-5.481505544,Low,0.009857955,0.018233732
Victor Ostman,2024-2025,SEA,870000,L,1,0,0,0,--,0,12,12,0,1,0,20:00,0,0,0,0,0,0.87,1,20,Mid-Low,0,1.149425287,0,0.591039032,Low,0.009886364,0.00480351
Nikke Kokko,2024-2025,SEA,892000,L,1,0,0,0,--,0,6,4,2,0.667,4.01,29:57:00,0,0,0,0,0,0.892,0.667,29.95,Mid-Low,0,0.747757848,0,-3.273919657,Low,0.010136364,0.01397234
Michael DiPietro,2021-2022,VAN,925000,L,1,1,0,1,--,0,17,14,3,0.824,3.14,57:21:00,0,0,0,0,0,0.925,0.824,57.35,Mid-Low,0,0.890810811,0,-1.165052858,Low,0.011349693,0.010007102
Kaapo Kahkonen,2024-2025,COL,1000000,L,1,1,0,1,--,0,20,16,4,0.8,4.12,58:16:00,0,0,0,0,0,1,0.8,58.26666667,Mid-Low,0,0.8,0,-1.432724922,Low,0.011363636,0.010670143
Yaroslav Askarov,2022-2023,NSH,1775000,R,1,1,0,1,--,0,35,31,4,0.886,4.15,57:50:00,0,0,0,0,0,1.775,0.886,57.83333333,Mid-High,0,0.49915493,0,-0.318707441,Low,0.021515152,0.008326023
Anton Khudobin,2022-2023,CHI,2750000,L,1,1,0,1,--,0,28,22,6,0.786,6,60:00:00,0,0,0,0,0,2.75,0.786,60,Mid-High,0,0.285818182,0,-1.36606101,Low,0.033333333,0.011070273
Michael Hutchinson,2021-2022,TOR,725000,R,2,1,0,1,--,0,42,36,6,0.857,4.57,78:43:00,0,0,0,0,0,0.725,0.857,78.71666667,Low,0,1.182068966,0,-0.610749757,Low,0.008895706,0.009347565
Louis Domingue,2021-2022,PIT,750000,R,2,2,1,1,--,0,83,79,4,0.952,2.02,118:45:00,0,0,0,0,0,0.75,0.952,118.75,Low,1.333333333,1.269333333,0,0.871494719,Low,0.009202454,0.007506797
Michael Houser,2021-2022,BUF,750000,L,2,2,2,0,--,0,77,73,4,0.948,2,120:00:00,0,0,0,0,0,0.75,0.948,120,Low,2.666666667,1.264,0,0.834943638,Low,0.009202454,0.007926756
Josef Korenar,2021-2022,ARI,750000,L,2,0,0,0,--,0,35,32,3,0.914,2.56,70:18:00,0,0,0,0,0,0.75,0.914,70.3,Low,0,1.218666667,0,-0.004439469,Low,0.009202454,0.007703314
Maxime Lagace,2021-2022,TBL,750000,L,2,2,1,1,--,0,58,48,10,0.828,6.11,98:08:00,0,0,0,0,0,0.75,0.828,98.13333333,Low,1.333333333,1.104,0,-0.781888722,Low,0.009202454,0.010649989
Alex Lyon,2021-2022,CAR,750000,L,2,2,1,0,--,1,65,59,6,0.908,2.93,122:49:00,0,0,0,0,0,0.75,0.908,122.8166667,Low,1.333333333,1.210666667,0,0.384566385,Low,0.009202454,0.00874896
Garret Sparks,2021-2022,LAK,750000,L,2,1,1,0,--,0,47,44,3,0.936,1.85,97:13:00,0,0,0,0,0,0.75,0.936,97.21666667,Low,1.333333333,1.248,0,0.492747592,Low,0.009202454,0.007702059
Dylan Ferguson,2022-2023,OTT,750000,L,2,2,1,1,--,0,83,78,5,0.94,2.52,118:52:00,0,0,0,0,0,0.75,0.94,118.8666667,Low,1.333333333,1.253333333,0,0.729998302,Low,0.009090909,0.007834509
Keith Kinkaid,2022-2023,COL,750000,L,2,1,1,0,--,0,40,38,2,0.95,1.37,87:51:00,0,0,0,0,0,0.75,0.95,87.85,Low,1.333333333,1.266666667,0,0.576928532,Low,0.009090909,0.007216868
Eetu Makiniemi,2022-2023,SJS,775000,L,2,1,1,0,--,1,32,29,3,0.906,2.13,84:20:00,0,0,0,0,0,0.775,0.906,84.33333333,Low,1.290322581,1.169032258,0,0.026649169,Low,0.009393939,0.008374527
